[Header],
System,TOC-TN-ASI,
Date/Time,3/29/2022 10:05:44 AM,

[Data],
Anal.,Sample Name,Analysis(Inj.),Area,Mean Area,Excluded,Inj. Vol.,Auto. Dil.,
NPOC/TN,S10_again,TN,14.81,14.95,0,100,10.00,
NPOC/TN,S10_again,TN,15.01,14.95,0,100,10.00,
NPOC/TN,S10_again,TN,15.41,14.95,1,100,10.00,
NPOC/TN,S10_again,TN,15.03,14.95,0,100,10.00,
NPOC/TN,S7_again,NPOC,18.45,18.53,0,100,7.000,
NPOC/TN,S7_again,NPOC,18.84,18.53,0,100,7.000,
NPOC/TN,S7_again,NPOC,18.31,18.53,0,100,7.000,
NPOC/TN,S7_again,TN,21.63,21.33,0,100,7.000,
NPOC/TN,S7_again,TN,21.38,21.33,0,100,7.000,
NPOC/TN,S7_again,TN,20.99,21.33,0,100,7.000,
NPOC/TN,DSRW_combo_3,NPOC,2.851,2.958,0,100,1.000,
NPOC/TN,DSRW_combo_3,NPOC,2.988,2.958,0,100,1.000,
NPOC/TN,DSRW_combo_3,NPOC,3.034,2.958,0,100,1.000,
NPOC/TN,DSRW_combo_3,TN,9.030,8.621,0,100,1.000,
NPOC/TN,DSRW_combo_3,TN,8.073,8.621,0,100,1.000,
NPOC/TN,DSRW_combo_3,TN,8.761,8.621,0,100,1.000,
NPOC/TN,DSRW_combo_3,TN,0.04410,8.621,1,100,1.000,
NPOC/TN,DSRW_combo_3,TN,0.000,8.621,1,100,1.000,
